Start Time,End Time,,Name,PaperId,Presenter,Options,Great Together,Ok Together,Not Ok Together,Don't know if should be together,Interested in,Options 11-20,More button1 clicked,More button2 clicked,Specials 1-3,Specials 4-6
2015-01-25T23:57:43Z,2015-01-26T00:00:57Z,,Adrian Clark,pn5138,,"pn5113,pn5121,pn5107,pn5105,pn5127,pn5123,pn1936,pn5137,pn5103,crs121",,"pn5127,pn5137,pn1936,crs121",,"pn5121,pn5105,pn5123,pn5107,pn5103,pn5113","pn1936,pn5105,pn5107","pn1357,pn5104,pn1323,pn5115,pn5112,pn5106,pn5101,pn5128,pn654,pn5108",FALSE,FALSE,,
2015-01-26T00:00:44Z,2015-01-26T00:01:53Z,,Michael Bernstein,pn206,,"crs122,pn207,pn1662,pn1840,pn1166,pn2588,pn807,pn2336,pn2313,pn906","pn2313,pn2336,pn1662,pn207,pn807","pn906,pn2588",crs122,"pn1840,pn1166","pn807,pn2336,pn2313,pn207","case129,pn2626,pn917,pn1887,pn2423,pn366,pn1218,pn2032,pn411,pn1558",FALSE,FALSE,,
2015-01-25T23:59:55Z,2015-01-26T00:02:33Z,,Suranga Nanayakkara,pn1559,,"pn388,pn691,pn332,pn1373,pn2072,pn1077,pn1638,pn1881,pn2486,pn1898","pn691,pn2072,pn2486,pn1373","pn1638,pn388,pn1898,pn1077,pn1881",,pn332,pn2072,"pn5107,crs119,pn1275,pn933,pn1390,pn5132,pn147,pn738,pn2575,pn1103",FALSE,FALSE,,
2015-01-26T00:02:11Z,2015-01-26T00:03:23Z,,Michael Bernstein,pn207,,"pn906,pn1837,pn807,pn687,pn2588,pn2375,pn747,pn1059,pn239,pn2032","pn2032,pn1837,pn807","pn2588,pn747,pn1059",,"pn687,pn906,pn239,pn2375","pn807,pn2032","pn2185,pn1501,pn2313,pn261,crs122,pn2423,pn1558,pn2587,pn206,pn1662",FALSE,FALSE,,
2015-01-25T23:54:10Z,2015-01-26T00:04:36Z,,Lone Koefoed Hansen,pn1426,,"pn1641,pn481,pn5106,pn1623,pn1088,pn1652,crs134,pn583,pn521,pn1486",pn1641,"pn1486,pn583","pn481,pn1652,pn1623,crs134","pn5106,pn1088,pn521","pn1940,pn2282,pn583,pn1641,pn2425,pn1486,pn1088","crs109,crs121,pn594,pn2282,crs133,pn1915,pn1948,pn361,pn1940,pn2425",FALSE,TRUE,,
2015-01-25T23:35:31Z,2015-01-26T00:04:37Z,,Keita Higuchi,pn271,,"pn1673,pn681,pn1258,pn564,pn1129,pn282,pn1688,pn851,pn1892,pn123","pn1129,pn1688,pn1258","pn282,pn564,pn681",,"pn1673,pn851,pn1892,pn123","pn1170,pn2196,pn2607","pn2196,pn528,pn1312,case115,pn1210,pn910,pn2072,pn631,pn2607,pn1170",FALSE,TRUE,,
2015-01-26T00:03:31Z,2015-01-26T00:05:00Z,,Michael Bernstein,pn2423,,"pn1727,pn1808,pn1092,pn1573,pn1453,pn2626,pn555,pn1386,pn1539,crs100",pn2626,"pn1573,pn1808,pn1453,pn1539","pn1727,crs100","pn1386,pn555,pn1092",,"pn1662,pn207,pn206,pn123,pn2588,pn906,pn1888,pn1497,pn807,crs131",FALSE,FALSE,,
2015-01-26T00:05:27Z,2015-01-26T00:05:40Z,,Tousif Ahmed,pn1077,,"pn2072,pn332,pn1559,pn691,pn388,pn1638,pn1881,pn1898,pn1373,pn2486",,,,,,"pn895,pn466,pn5132,pn298,pn5107,pn2626,pn1480,pn655,pn371,pn1273",FALSE,FALSE,,
2015-01-25T23:34:27Z,2015-01-26T00:07:42Z,,Megan Strait,pn1538,,"pn1835,pn2536,pn366,pn282,pn2328,case139,pn910,pn2196,pn413,pn2586","pn2586,pn366","case139,pn2196","pn1856,pn2313,crs112,pn1498,pn2108,pn910,pn413,pn103,pn2536,pn1835,pn1195,pn2328,crs109","pn282,case163,pn1258","pn2536,pn1258,pn2196,pn2586,case163,pn366,pn1835,pn413,pn282,pn2108,case139","pn1195,pn1856,pn1498,pn2108,crs112,pn103,pn2313,pn1258,crs109,case163",TRUE,TRUE,,
2015-01-26T00:05:48Z,2015-01-26T00:08:27Z,,Tousif Ahmed,pn1077,,"pn2072,pn332,pn1559,pn691,pn388,pn1638,pn1881,pn1898,pn1373,pn2486","pn1638,pn1480,pn2072,pn371,pn1559","pn332,pn2486,pn1373",pn388,"pn691,pn1898,pn1881","pn2072,pn1559,pn1638,pn691,pn1898,pn1373","pn895,pn466,pn5132,pn298,pn5107,pn2626,pn1480,pn655,pn371,pn1273",TRUE,FALSE,,
2015-01-26T00:08:13Z,2015-01-26T00:09:00Z,,Antti Oulasvirta,pn1895,,"pn2296,pn1284,pn416,pn142,pn1492,crs135,pn139,pn933,pn359,pn1361",pn359,"pn1284,crs135,pn1492","pn139,pn1361,pn142,pn933,pn416,pn2296",,"pn359,pn1492","pn2207,crs122,pn2146,pn1583,pn1907,pn5110,pn1927,pn2288,pn1574,pn595",FALSE,FALSE,,
2015-01-26T00:05:45Z,2015-01-26T00:09:05Z,,Aaron Quigley ,pn1066,,"pn273,pn1367,pn388,pn2473,pn979,pn1809,pn2582,pn1010,pn1709,pn1715","pn1367,pn1715","pn388,pn1709,pn1809,pn273",pn1010,"pn2582,pn2473,pn979","pn1709,pn1367,pn1715,pn2473","pn236,pn479,pn643,pn665,pn919,pn488,pn182,pn1898,pn954,crs133",FALSE,FALSE,,
2015-01-26T00:04:07Z,2015-01-26T00:11:58Z,,Foong Pin Sym,pn2570,,"pn1189,pn1571,crs122,pn1689,pn105,pn1061,pn2492,pn1603,pn5102,pn206","pn2492,pn5102,pn105","pn1603,pn1689","pn1189,pn1571,crs122","pn1061,pn206","pn105,pn1603,pn5102","pn2196,pn1887,pn169,pn2245,pn1944,pn1874,pn207,pn1528,pn2085,pn2191",TRUE,FALSE,,
2015-01-26T00:09:09Z,2015-01-26T00:12:32Z,,Soon Hau Chua,pn5107,,"pn691,pn1881,pn1373,pn1638,pn1559,pn332,pn1898,pn2072,pn388,pn1077",,"pn1638,pn691,pn2072,pn1077,pn1373",pn1559,"pn388,pn1898,pn332,pn1881","pn2072,pn1559,pn1077,pn691,pn1373","pn5132,pn5104,pn5115,pn5123,pn2486,pn5113,pn5138,pn5105,pn5101,pn5127",FALSE,FALSE,,
2015-01-25T23:57:50Z,2015-01-26T00:13:25Z,,,pn768,,"pn5107,pn815,pn1717,pn1550,pn1764,pn650,pn1289,pn1048,pn2305,pn2480","pn1717,pn1048,pn650,pn2305","pn5107,pn1289,pn2480","pn815,pn1550",pn1764,"pn1717,pn650,pn2305","pn1492,case138,pn2625,pn2578,pn5101,pn910,pn500,pn365,pn112,pn1840",FALSE,TRUE,,
2015-01-26T00:10:03Z,2015-01-26T00:13:40Z,,Darren Edge,pn2327,,"pn1187,pn1498,pn2147,pn2172,pn2536,pn5103,pn2651,pn1135,pn2245,pn5133","pn1717,pn2536,pn234,pn1419","pn1187,pn5103,pn2245,pn2126","pn139,pn1638,pn1135,pn594,pn2147,pn1498,pn1626,pn2172,pn416",pn2651,pn2536,"pn1717,pn139,pn1626,pn234,pn2126,pn1638,pn1419,pn160,pn594,pn416",TRUE,FALSE,,
2015-01-26T00:12:05Z,2015-01-26T00:13:58Z,,Shaun K. Kane,pn2072,,"pn1559,pn1373,pn332,pn1638,pn1898,pn2486,pn1077,pn388,pn1881,pn691","pn1898,pn691,pn1881","pn1638,pn388,pn1559,pn2486,pn1077,pn1373",,pn332,"pn2486,pn1559,pn1898,pn388,pn1373","pn787,pn1129,pn5132,pn2245,pn2611,pn1275,pn2575,pn5107,pn2126,pn2282",FALSE,FALSE,,
2015-01-26T00:12:06Z,2015-01-26T00:14:25Z,,Haley MacLeod,pn1945,,"pn885,pn2470,pn1046,pn2481,pn103,pn2419,pn243,pn5108,pn2424,pn808","pn2419,pn5108,pn2424","pn243,pn1046,pn2481,pn103,pn808",,"pn2470,pn885","pn808,pn2419,pn2481,pn243,pn2424,pn5108","pn731,pn2582,pn1226,pn236,pn1001,pn1118,pn1256,pn1722,pn2625,pn1124",FALSE,FALSE,,
