Start Time,End Time,Name,PaperId,Presenter,Options,Great Together,Ok Together,Not Ok Together,Don't know if should be together,Interested in,Options 11-20,More button1 clicked,More button2 clicked,Specials 1-3,Specials 4-6
2013-01-29T23:53:04Z,2013-02-02T03:32:59Z,Jeffrey Bardzell,pn2153,,"pn983,pn371,pn548,pn300,pn2249,pn1843,pn584,pn368,pn2104,pn1637","pn1843,pn2104,pn2249","pn548,pn584",pn1637,"pn983,pn371,pn368,pn300","pn2249,pn1637,pn548,pn2104","pn2207,pn148,pn1612,tochi123,pn299,pn1943,pn662,pn966,pn940,pn1698",FALSE,FALSE,"sig108,sig105,crs134","case103,crs160,sig112"
2013-02-02T04:03:44Z,2013-02-02T04:28:26Z,Gierad Laput,pn627,,"pn2065,pn981,pn1183,pn900,pn1599,pn1483,pn368,pn1226,pn1566,pn528",,"pn900,pn1483,pn1183,pn1566,pn1226,pn2065,pn528","pn981,pn368",pn1599,"crs150,pn528,pn1226,pn900,pan112,pn1599,pn1183,pn1264,crs161,pn1483,pn1566,pn1713,pn701","pn951,pn2358,pn639,pn1438,pn1271,pn1042,pn1713,pn1264,pn1177,pn701",FALSE,TRUE,"pan112,crs161,crs150","case170,crs120,crs134"
2013-02-02T07:08:34Z,2013-02-02T07:37:06Z,Niloufar Salehi,pn883,,"pn1281,pn202,pn1907,pn1701,pn1750,pn1876,pn1751,pn1180,pn1607,pn1498","pn1281,pn1876,pn1701","pn1750,pn1751,pn1907",pn202,"pn1180,pn1607,pn1498","pn1281,pn1876,pn1750,pn1751","pn127,pn1380,pn546,pn1166,pn2157,pn144,pn1301,pn239,pn2355,pn651",FALSE,FALSE,"crs160,case103,sig114","sig127,case154,pan120"
2013-02-02T12:00:45Z,2013-02-02T12:04:40Z,"Lung-Pan Cheng, Hsiang-Sheng Liang, Che-Yang Wu, Mike Y. Chen",pn520,,"pn1360,pn492,pn222,pn2191,pn1813,pn2344,pn1566,pn1376,pn946,pn650","pn1360,pn1813,pn1376","pn492,pn371,pn1936,pn2157","pn1325,pn946,pn137,pn1566,pn1241,pn222,pn2191,pn679,pn414,pn2344,pn1374","pn117,pn650","pn2157,pn1360,pn1813,pn414,pn492","pn117,pn1936,pn371,pn1241,pn679,pn2157,pn1374,pn414,pn137,pn1325",TRUE,TRUE,"crs150,crs120,case141","crs164,crs110,pan111"
2013-02-02T12:00:46Z,2013-02-02T12:09:00Z,"Lung-Pan Cheng, Meng-Han Lee, Che-Yang Wu, Fang-I Hsiao, Yen-Ting Liu, Hsiang-Sheng Liang, Yi-Ching Chiu, Ming-Sui Lee, Mike Y. Chen",pn222,,"pn414,pn293,pn1545,pn113,pn758,pn520,pn289,pn1698,pn1090","pn414,pn1936","pn293,pn1090,pn113","pn758,pn425,pn289,pn520,pn1187,pn1698,pn1241,pn1424,pn1745,pn564,pn1330","pn1229,pn1545,pn679","pn293,pn758,pn1187,pn1936","pn679,pn1936,pn1229,pn425,pn1330,pn1241,pn1745,pn1187,pn564,pn1424",TRUE,TRUE,"crs150,case170,crs161","case146,case141,case119"
2013-02-02T14:43:42Z,2013-02-02T14:55:08Z,Jun Zhang,pn2208,,"pn2140,pn927,pn2290,pn584,pn1177,pn1351,pn1557,pn529,pn1169,pn1214",pn850,"pn480,pn940,pn2140,pn1263,pn2355,pn1557","pn2290,pn1351,pn1214,pn1177,pn584,pn1231","pn739,pn927,pn1699,pn630,pn1169,pn529",,"pn1263,pn630,pn2355,pn1231,pn480,pn739,pn940,pn1699,pn850",TRUE,FALSE,"sig122,sig112,crs152","sig123,case146,case113"
2013-02-02T14:57:52Z,2013-02-02T15:01:17Z,Yu-Hao Lee,pn635,,"pn1644,pn380,pn1607,pn536,pn1091,pn1426,pn548,pn2096,pn1711,tochi128","pn1091,pn548","pn380,tochi128,pn536,pn1426,pn1711",,"pn2096,pn1607,pn1644","crs130,tochi128,pn548,pn1091,pn1426,pn1607","pn1104,pn1177,pn2303,pn1263,pn2248,pn2178,pn1982,pn213,pn595",FALSE,FALSE,"crs130,pan110,pan114","crs177,sig116,crs153"
2013-02-02T14:39:11Z,2013-02-02T15:29:06Z,Yan Qu,pn2208,,"pn2140,pn927,pn2290,pn584,pn1177,pn1351,pn1557,pn529,pn1169,pn1214",,pn1557,"pn940,pn927,pn1699,pn1263,pn2355,pn2290,pn630,pn1351,pn1214,pn1177,pn584,pn529","pn480,pn739,pn2140,pn1169,pn1231,pn850","pn739,pn1169,pn1231","pn1263,pn630,pn2355,pn1231,pn480,pn739,pn940,pn1699,pn850",TRUE,TRUE,"sig122,sig112,crs152","sig123,case146,case113"
2013-02-03T22:48:49Z,2013-02-03T22:51:32Z,Nicholas Diakopoulos,pn1594,,"tochi104,pn476,pn164,pn2096,pn2291,pn765,pn639,pn1226,pn1327,pn1263",,"tochi104,pn639,pn2291","pn1226,pn1263,pn2096","pn164,pn1327,pn966,pn765,pn476","pn2291,tochi104,pn1327,pn639,pn476","pn966,pn253,pn2157,pn1351,pn115,pn2358,pn107,pn1380,pn782",TRUE,FALSE,"sig102,case103,case154","crs162,case133,case107"
2013-02-03T23:04:16Z,2013-02-03T23:59:43Z,Bonifaz Kaufmann,pn900,,"pn1350,pn1599,pn528,pn292,pn213,pn1483,pn1346,pn2065,pn627,pn1118","pn117,pn213,pn1187",pn2065,"pn1483,pn1118,pn733,pn1346,pn769,pn292,pn1090,pn577,pn299,pn627,pn528,pn705","pn739,tochi124,pn1599,pn1350","crs150,pn117,pn1187,pn2065","pn705,pn733,pn739,tochi124,pn299,pn769,pn577,pn1187,pn1090,pn117",TRUE,TRUE,"case114,crs120,sig111","crs150,case136,crs115"
2013-02-04T02:07:42Z,2013-02-04T02:09:41Z,Q. Vera Liao,pn1170,,"pn1172,pn769,pn2291,pn380,pn1168,pn720,pn463,pn1301,pn127,pn1728",,"pn127,pn2291,pn1172","pn463,pn1728,pn720,pn1168","pn380,pn1301,pn769",,"pn359,pn782,pn586,pn1094,pn581,pn1108,pn112,pn1846,pn1599,pn2305",FALSE,FALSE,"case127,sig127,crs153","crs177,case154,sig112"
2013-02-04T05:00:34Z,2013-02-04T05:38:39Z,Ju-Whan Kim,pn2220,,"pn1770,pn1437,pn1734,pn137,pn540,tochi129,pn1440,pn1271,pn1873,pn2321","pn1440,pn1873,pn2321","pn1734,pn1770,pn1271",pn137,"pn540,tochi129,pn1437","pn540,pn1437,crs164,pn1770,pn1873,pn2321","pn1545,pn733,pn102,pn1943,pn2165,pn1046,pn722,pn293,pn1566,pn289",FALSE,TRUE,"crs164,sig102,crs152","pan112,case133,crs150"
2013-02-04T08:50:34Z,2013-02-04T09:01:37Z,Alexandre N Tuch,pn1676,,"pn1420,pn1031,tochi108,tochi118,pn595,tochi130,pn1263,pn1506,pn1644,pn2015","pn1031,pn1506","tochi108,pn1420,pn2015",tochi118,"pn595,tochi130,pn1263,pn1644","pn1031,pn1644,pn1506","pn1350,pn686,pn586,pn985,pn1907,pn1431,pn1541,pn564,pn417",FALSE,FALSE,"crs160,crs105,crs114","crs150,case113,crs110"
2013-02-04T12:31:40Z,2013-02-04T12:38:59Z,Harald Holone,pn2210,,"tochi118,pn663,pn312,pn253,tochi128,pn112,pn581,pn1118,pn1188,pn1337","pn312,tochi118,pn112","pn663,pn1118,pn1337","tochi128,pn1188,pn581",pn253,"pn1337,pn112,pn312,tochi118,pn1118","pn595,pn847,pn646,pn368,pn181,pn401,pn790,pn720,pn1160,pn941",FALSE,FALSE,"case136,crs130,case146","case127,sig123,case138"
2013-02-04T12:44:35Z,2013-02-04T12:55:41Z,Seongkook Heo,pn1873,,"pn1328,pn1437,pn2321,pn1271,pn2220,pn103,pn153,pn1745,pn137,pn1153",pn103,"pn1153,pn106","pn116,pn137,pn687,pn758,pn1328,pn1626,pn2220,pn293,pn1745,pn1271,pn113,pn368,pn2179,pn153","pn267,pn2321,pn1437","pn1153,pn103,pn153","pn106,pn758,pn293,pn1626,pn687,pn116,pn113,pn267,pn2179,pn368",TRUE,FALSE,"crs105,crs150,case136","case114,crs110,case141"
